route_id,date,weekday,week_number,driver_id,origin_barrio,lat_origin,lon_origin,barrios_recorridos,tipo_vehiculo,vehicle_capacity_m3,volumen_cargado_m3,carga_pct,n_paradas,n_paquetes,cliente_top_count,km_total,desviacion_km,velocidad_media_kmh,duracion_min,tiempo_conduccion_min,tiempo_paradas_min,tiempo_espera_deposito_min,tiempo_carga_min,n_incidentes,motivo_incidente,paquetes_no_entregados,porcentaje_entregas_exitosas,prioridad,entregas_retrasadas,clima,turno,estado_ruta,notas_logisticas,costo_est_operativo
2000,2025-01-27,0,4,3,La Plata,-34.922486,-57.95277,La Plata; Tolosa,Furgoneta,8,7.84,98.0,71,81,6,24.6,0.07,17.57,224,84,130,10,16,1,Cliente ausente,1,98.77,media,1,Nublado,mañana,con_incidente,Devolver a depósito,29.01
2001,2025-03-25,1,12,1,Abasto,-34.820862,-57.922538,Abasto; Villa Elisa; City Bell,Camioneta,13,4.41,33.9,85,102,7,18.7,0.99,13.68,241,82,159,2,32,0,nan,0,100.0,alta,0,Despejado,mañana,completa_ok,nan,30.33
2002,2025-01-11,5,1,3,Abasto,-34.817327,-57.916802,Abasto; Lisandro Olmos,Camioneta,13,6.04,46.5,88,101,8,29.4,0.64,19.6,254,90,164,9,34,0,nan,0,100.0,baja,0,Despejado,mañana,completa_ok,nan,33.1
2003,2025-11-24,0,47,5,Berisso,-34.861056,-57.870459,Berisso; Los Talas; Joaquin Gorina; Gonnet,Camioneta,13,4.84,37.2,83,95,10,33.5,0.0,12.64,278,159,119,9,34,0,nan,0,100.0,media,0,Despejado,mañana,completa_ok,nan,35.25
2004,2025-02-12,2,6,4,Villa Elvira,-34.893168,-57.955424,Villa Elvira; Villa Montoro,Camioneta,13,6.2,47.7,79,92,9,39.3,1.98,10.96,377,202,108,1,20,1,nan,2,97.83,media,1,Nublado,mañana,con_incidente,nan,40.05
2005,2025-11-18,1,46,3,La Plata,-34.920562,-57.95835,La Plata; Tolosa,Camioneta,13,5.57,42.8,72,83,7,35.8,0.0,13.1,284,164,120,5,28,0,nan,0,100.0,baja,0,Viento fuerte,mañana,con_incidente,nan,36.44
2006,2025-10-06,0,40,4,El Peligro,-34.83141,-57.908875,El Peligro; Lisandro Olmos,Camioneta,13,5.01,38.5,78,88,7,20.5,1.17,18.36,249,67,182,14,43,0,nan,2,97.73,media,1,Despejado,mañana,parcial,Contactar cliente,30.23
2007,2025-08-11,0,32,6,City Bell,-34.874818,-57.983312,City Bell; Manuel B. Gonnet,Camioneta,13,2.87,22.1,73,91,9,12.3,0.77,26.36,203,28,175,6,23,0,nan,1,98.9,baja,1,Despejado,mañana,parcial,Entrega parcial,26.7
2008,2025-01-15,2,2,3,Ringuelet,-34.947386,-57.929691,Ringuelet; Gonnet,Furgoneta,8,2.75,34.4,92,103,7,30.4,0.7,20.04,257,91,166,8,25,0,nan,0,100.0,media,0,Despejado,mañana,completa_ok,nan,33.59
2009,2025-08-03,6,31,1,Los Hornos,-34.916897,-57.9951,Los Hornos; La Plata; Tolosa,Camioneta,13,4.78,36.8,71,77,5,26.6,0.0,14.64,240,109,131,5,20,0,nan,1,98.7,media,1,Despejado,mañana,parcial,Contactar cliente,29.82
