route_id,date,weekday,week_number,driver_id,origin_barrio,lat_origin,lon_origin,barrios_recorridos,tipo_vehiculo,vehicle_capacity_m3,volumen_cargado_m3,carga_pct,n_paradas,n_paquetes,cliente_top_count,km_total,desviacion_km,velocidad_media_kmh,duracion_min,tiempo_conduccion_min,tiempo_paradas_min,tiempo_espera_deposito_min,tiempo_carga_min,n_incidentes,motivo_incidente,paquetes_no_entregados,porcentaje_entregas_exitosas,prioridad,entregas_retrasadas,clima,turno,estado_ruta,notas_logisticas,costo_est_operativo,eficiencia_carga_pct,tasa_exito_entregas
2000,2025-01-27,0,4,3,la plata,-34.922486,-57.95277,la plata; tolosa,furgoneta,8,7.84,98.0,71,81,6,24.6,0.07,17.57,224,84,130,10,16,1,cliente ausente,1,98.77,media,1,nublado,mañana,con_incidente,devolver a depósito,29.01,98.0,98.77
2001,2025-03-25,1,12,1,abasto,-34.820862,-57.922538,abasto; villa elisa; city bell,camioneta,13,4.41,33.9,85,102,7,18.7,0.99,13.68,241,82,159,2,32,0,nan,0,100.0,alta,0,despejado,mañana,completa_ok,nan,30.33,33.9,100.0
2002,2025-01-11,5,1,3,abasto,-34.817327,-57.916802,abasto; lisandro olmos,camioneta,13,6.04,46.5,88,101,8,29.4,0.64,19.6,254,90,164,9,34,0,nan,0,100.0,baja,0,despejado,mañana,completa_ok,nan,33.1,46.5,100.0
2003,2025-11-24,0,47,5,berisso,-34.861056,-57.870459,berisso; los talas; joaquin gorina; gonnet,camioneta,13,4.84,37.2,83,95,10,33.5,0.0,12.64,278,159,119,9,34,0,nan,0,100.0,media,0,despejado,mañana,completa_ok,nan,35.25,37.2,100.0
2004,2025-02-12,2,6,4,villa elvira,-34.893168,-57.955424,villa elvira; villa montoro,camioneta,13,6.2,47.7,79,92,9,39.3,1.98,10.96,377,202,108,1,20,1,nan,2,97.83,media,1,nublado,mañana,con_incidente,nan,40.05,47.7,97.83
2005,2025-11-18,1,46,3,la plata,-34.920562,-57.95835,la plata; tolosa,camioneta,13,5.57,42.8,72,83,7,35.8,0.0,13.1,284,164,120,5,28,0,nan,0,100.0,baja,0,viento fuerte,mañana,con_incidente,nan,36.44,42.8,100.0
2006,2025-10-06,0,40,4,el peligro,-34.83141,-57.908875,el peligro; lisandro olmos,camioneta,13,5.01,38.5,78,88,7,20.5,1.17,18.36,249,67,182,14,43,0,nan,2,97.73,media,1,despejado,mañana,parcial,contactar cliente,30.23,38.5,97.73
2007,2025-08-11,0,32,6,city bell,-34.874818,-57.983312,city bell; manuel b. gonnet,camioneta,13,2.87,22.1,73,91,9,12.3,0.77,26.36,203,28,175,6,23,0,nan,1,98.9,baja,1,despejado,mañana,parcial,entrega parcial,26.7,22.1,98.9
2008,2025-01-15,2,2,3,ringuelet,-34.947386,-57.929691,ringuelet; gonnet,furgoneta,8,2.75,34.4,92,103,7,30.4,0.7,20.04,257,91,166,8,25,0,nan,0,100.0,media,0,despejado,mañana,completa_ok,nan,33.59,34.4,100.0
2009,2025-08-03,6,31,1,los hornos,-34.916897,-57.9951,los hornos; la plata; tolosa,camioneta,13,4.78,36.8,71,77,5,26.6,0.0,14.64,240,109,131,5,20,0,nan,1,98.7,media,1,despejado,mañana,parcial,contactar cliente,29.82,36.8,98.7
2010,2025-07-19,5,28,3,tolosa,-34.924088,-57.953274,tolosa; manuel b. gonnet; ringuelet,camioneta,13,6.54,50.3,64,68,7,16.1,0.5,7.85,200,123,77,5,24,0,nan,0,100.0,alta,0,despejado,mañana,completa_ok,nan,24.95,50.3,100.0
2011,2025-12-31,2,52,6,city bell,-34.877578,-57.976708,city bell; gonnet,camioneta,13,4.08,31.4,84,98,5,20.8,0.0,249.6,229,5,234,2,14,0,nan,0,100.0,media,0,lluvia ligera,mañana,completa_ok,nan,27.68,31.4,100.0
2012,2025-02-23,6,8,5,manuel b. gonnet,-34.923301,-57.923261,manuel b. gonnet; gonnet,furgoneta,8,2.33,29.1,84,95,2,21.5,0.95,10.75,268,120,148,21,30,0,nan,2,97.89,media,1,despejado,mañana,parcial,reintentar mañana,33.43,29.1,97.89
2013,2025-09-14,6,37,1,joaquin gorina,-34.874333,-57.944432,joaquin gorina; city bell,furgoneta,8,7.84,98.0,79,98,10,32.0,4.15,16.41,286,117,169,23,25,0,nan,0,100.0,alta,0,nublado,mañana,con_incidente,nan,35.78,98.0,100.0
2014,2025-10-11,5,40,5,tolosa,-34.923467,-57.949244,tolosa; city bell; manuel b. gonnet,camioneta,13,7.54,58.0,81,102,9,30.2,0.16,8.43,357,215,142,8,35,0,nan,0,100.0,baja,1,despejado,mañana,con_incidente,nan,43.01,58.0,100.0
2015,2025-06-24,1,25,4,abasto,-34.818619,-57.91909,abasto; la plata,furgoneta,8,5.58,69.8,86,111,7,25.2,0.15,22.91,262,66,196,1,32,0,nan,1,99.1,media,1,nublado,mañana,parcial,contactar cliente,32.41,69.8,99.1
2016,2025-12-09,1,49,7,city bell,-34.875774,-57.983893,city bell; manuel b. gonnet,camioneta,13,7.34,56.5,68,77,4,26.9,0.3,17.35,225,93,132,13,28,0,nan,0,100.0,baja,0,despejado,mañana,completa_ok,nan,29.52,56.5,100.0
2017,2025-02-01,5,4,7,gonnet,-34.936482,-57.921603,gonnet; ringuelet,camioneta,13,6.21,47.8,75,88,5,28.9,0.26,14.21,265,122,143,0,24,0,nan,0,100.0,alta,0,despejado,mañana,con_incidente,nan,34.6,47.8,100.0
2018,2025-05-16,4,19,5,villa elisa,-34.915983,-57.988148,villa elisa; tolosa,camioneta,13,4.51,34.7,76,94,7,28.4,0.0,20.53,206,83,123,2,16,0,nan,0,100.0,media,0,despejado,mañana,completa_ok,nan,26.1,34.7,100.0
2019,2025-11-28,4,47,4,ringuelet,-34.944849,-57.93262,ringuelet; tolosa,camion 3.5t,18,6.86,38.1,67,78,6,8.0,0.0,96.0,115,5,156,20,6,0,nan,2,97.44,media,1,despejado,mañana,parcial,reintentar mañana,16.75,38.1,97.44
2020,2025-04-04,4,13,1,la plata,-34.918497,-57.951325,la plata; villa elisa; city bell,camion 3.5t,18,6.23,34.6,78,93,6,22.7,1.67,8.9,257,153,104,8,22,0,nan,4,95.7,baja,1,despejado,mañana,parcial,reintentar mañana,31.1,34.6,95.7
2021,2025-08-26,1,34,5,abasto,-34.822602,-57.924471,abasto; el peligro,furgoneta,8,6.2,77.5,75,84,9,25.7,1.62,9.12,310,169,141,2,25,0,nan,1,98.81,baja,1,lluvia ligera,mañana,parcial,entrega parcial,39.94,77.5,98.81
2022,2025-07-03,3,26,4,la plata,-34.921014,-57.948557,la plata,camioneta,13,10.46,80.5,69,88,3,30.0,0.0,94.74,187,19,168,5,23,0,nan,3,96.59,media,1,despejado,mañana,parcial,devolver a depósito,25.07,80.5,96.59
2023,2025-06-05,3,22,4,lisandro olmos,-34.805737,-57.897605,lisandro olmos; melchor romero,furgoneta,8,7.84,98.0,83,100,4,33.4,0.68,13.36,324,150,174,1,38,0,nan,1,99.0,media,1,nublado,mañana,parcial,reintentar mañana,41.49,98.0,99.0
2024,2025-11-22,5,46,4,gonnet,-34.932337,-57.92112,gonnet; manuel b. gonnet; ringuelet,furgoneta,8,4.09,51.1,85,101,8,20.6,1.72,14.05,248,88,160,17,21,0,nan,1,99.01,media,1,despejado,mañana,parcial,devolver a depósito,33.08,51.1,99.01
2025,2025-01-20,0,3,2,abasto,-34.821853,-57.912373,abasto,camion 3.5t,18,9.27,51.5,86,103,7,26.1,1.84,19.33,275,81,194,6,33,0,nan,0,100.0,media,0,despejado,mañana,completa_ok,nan,36.4,51.5,100.0
2026,2025-08-12,1,32,6,ringuelet,-34.946526,-57.934832,ringuelet; manuel b. gonnet,camioneta,13,4.05,31.2,75,83,7,14.2,1.5,23.03,244,37,207,11,18,0,nan,0,100.0,media,1,despejado,mañana,con_incidente,nan,29.65,31.2,100.0
2027,2025-03-20,3,11,4,ringuelet,-34.947021,-57.92643,ringuelet; gonnet,furgoneta,8,4.98,62.3,89,101,9,16.6,1.26,7.17,259,139,120,22,26,0,nan,0,100.0,alta,0,despejado,mañana,completa_ok,nan,30.46,62.3,100.0
2028,2025-05-27,1,21,2,city bell,-34.869639,-57.986937,city bell; gonnet,camioneta,13,4.94,38.0,68,75,3,13.7,1.75,35.25,150,24,145,27,28,0,nan,0,100.0,media,1,despejado,mañana,parcial,entrega parcial,22.86,38.0,100.0
2029,2025-01-25,5,3,1,city bell,-34.874437,-57.974311,city bell; joaquin gorina; gonnet,camion 3.5t,18,9.03,50.2,79,92,5,24.6,0.49,49.2,239,30,209,4,24,0,nan,1,98.91,media,1,despejado,mañana,parcial,reintentar mañana,30.24,50.2,98.91
2030,2025-03-25,1,12,7,villa elisa,-34.913486,-57.976606,villa elisa; la plata,camioneta,13,3.99,30.7,84,96,9,23.2,0.0,19.61,265,71,184,0,35,1,otro,0,100.0,media,0,tormenta,mañana,con_incidente,incidente resuelto,33.02,30.7,100.0
2031,2025-03-10,0,10,6,la plata,-34.920978,-57.953436,la plata; los hornos,camioneta,13,10.17,78.2,87,100,7,22.3,3.48,40.55,210,33,177,11,25,0,nan,2,98.0,media,1,despejado,mañana,parcial,reintentar mañana,28.18,78.2,98.0
2032,2025-05-30,4,21,3,villa elvira,-34.889559,-57.948133,villa elvira; los hornos,furgoneta,8,3.85,48.1,74,85,7,26.9,0.0,26.9,264,60,204,11,27,0,nan,1,98.82,baja,1,despejado,mañana,parcial,reintentar mañana,32.57,48.1,98.82
2033,2025-11-06,3,44,7,villa montoro,-34.901689,-57.951035,villa montoro; los hornos; el peligro,furgoneta,8,5.36,67.0,76,94,6,29.1,0.63,11.96,339,146,193,1,12,0,nan,0,100.0,baja,1,nublado,mañana,con_incidente,nan,42.27,67.0,100.0
2034,2025-06-29,6,26,3,los hornos,-34.917443,-57.994511,los hornos,furgoneta,8,7.64,95.5,63,73,5,16.8,0.0,10.84,238,93,145,9,31,0,nan,1,98.63,media,1,nublado,mañana,parcial,devolver a depósito,28.03,95.5,98.63
2035,2025-11-09,6,45,3,city bell,-34.874524,-57.973952,city bell; joaquin gorina,camioneta,13,8.19,63.0,72,89,6,15.3,0.0,6.85,260,134,126,8,18,0,nan,2,97.75,media,1,despejado,mañana,parcial,contactar cliente,33.48,63.0,97.75
2036,2025-08-07,3,31,7,city bell,-34.870836,-57.978998,city bell; joaquin gorina,furgoneta,8,7.84,98.0,93,106,8,17.1,2.0,73.29,255,14,241,8,30,0,nan,1,99.06,baja,1,despejado,mañana,parcial,devolver a depósito,32.58,98.0,99.06
2037,2025-07-07,0,27,2,la plata,-34.919671,-57.947599,la plata; centro; gonnet; ringuelet,furgoneta,8,6.45,80.6,73,86,7,19.0,1.5,14.25,227,80,147,6,28,0,nan,1,98.84,media,1,lluvia ligera,mañana,parcial,contactar cliente,28.22,80.6,98.84
2038,2025-09-23,1,38,7,berisso,-34.858569,-57.872628,berisso; villa argüello,furgoneta,8,5.46,68.2,71,80,5,19.1,0.11,229.2,186,5,191,8,20,0,nan,0,100.0,baja,0,lluvia ligera,mañana,completa_ok,nan,25.06,68.2,100.0
2039,2025-05-01,3,17,1,la plata,-34.921532,-57.95494,la plata; villa elisa,camioneta,13,6.06,46.6,85,106,2,41.9,0.0,16.99,255,148,107,34,13,0,nan,0,100.0,baja,0,lluvia ligera,mañana,completa_ok,nan,33.17,46.6,100.0
2040,2025-04-03,3,13,7,abasto,-34.820041,-57.915688,abasto; lisandro olmos,camion 3.5t,18,8.99,49.9,78,95,5,26.5,0.81,14.45,218,110,108,17,19,0,nan,0,100.0,media,0,lluvia ligera,mañana,completa_ok,nan,27.29,49.9,100.0
2041,2025-05-17,5,19,4,tolosa,-34.922293,-57.958347,tolosa; la plata; gonnet; city bell,furgoneta,8,2.0,25.0,68,79,8,9.1,0.76,10.5,188,52,136,7,25,0,nan,0,100.0,media,0,despejado,mañana,completa_ok,nan,22.87,25.0,100.0
2042,2025-06-08,6,23,3,el carmen,-34.840109,-57.900424,el carmen; berisso; villa argüello,furgoneta,8,7.84,98.0,68,77,2,18.8,0.0,15.89,184,71,113,0,31,0,nan,0,100.0,media,0,tormenta,mañana,completa_ok,nan,23.98,98.0,100.0
2043,2025-02-03,0,5,7,villa elisa,-34.916374,-57.981658,villa elisa; la plata; tolosa,furgoneta,8,3.99,49.9,63,75,8,28.0,1.81,23.01,187,73,114,8,27,0,nan,1,98.67,baja,1,nublado,mañana,parcial,contactar cliente,24.9,49.9,98.67
2044,2025-02-08,5,5,7,lisandro olmos,-34.802034,-57.901474,lisandro olmos,furgoneta,8,5.61,70.1,70,74,5,19.8,1.15,13.66,203,87,116,18,15,0,nan,0,100.0,media,0,despejado,mañana,completa_ok,nan,27.06,70.1,100.0
